Geneid	NORMAL_1	NORMAL_2	RESISTANT_1	RESISTANT_2	RESISTANT_2
100287102	0	0	1	2	2
653635	40	48	116	106	106
102466751	0	0	1	0	0
100302278	0	0	0	0	0
645520	0	0	1	0	0
79501	0	0	0	0	0
729737	35	38	750	697	697
102725121	0	0	4	0	0
102723897	43	49	217	210	210
102465909	0	2	2	1	1
729759	0	0	0	0	0
100132287	3	7	154	154	154
105378947	0	2	0	0	0
101928626	1	0	0	0	0
102465432	28	32	0	0	0
81399	0	0	0	0	0
100133331	10	9	1227	1257	1257
100288069	11	6	19	6	6
400728	2	4	2	0	0
79854	0	7	34	32	32
643837	133	160	3	4	4
284593	0	0	0	0	0
100130417	14	9	0	0	0
148398	34	45	2	3	3
26155	388	423	484	524	524
339451	51	49	28	23	23
84069	46	10	94	78	78
84808	12	2	57	56	56
57801	5	6	79	67	67
9636	88	53	10	10	10
375790	663	297	2056	1940	1940
105369174	0	1	0	0	0
105378948	5	0	1	1	1
401934	1	0	8	4	4
54991	49	49	71	56	56
254099	0	0	0	0	0
406984	0	0	8	10	10
406983	1	0	7	6	6
554210	2	0	13	16	16
254173	1	1	18	10	10
8784	12	2	0	5	5
7293	14	10	0	4	4
51150	754	757	226	179	179
126792	117	94	0	0	0
388581	2	3	4	3	3
118424	177	166	154	134	134
6339	13	25	3	7	7
116983	180	308	156	196	196
102465434	0	0	0	0	0
126789	22	18	25	33	33
54973	440	483	293	234	234
102465435	0	0	1	0	0
80772	49	61	48	30	30
83756	25	13	12	17	17
1855	118	176	204	187	187
102466740	0	0	0	0	0
54587	426	739	53	86	86
54998	173	109	55	68	68
81669	1822	1575	1990	2020	2020
148413	145	71	34	18	18
55052	242	217	193	192	192
441869	215	106	18	39	39
643965	0	0	0	0	0
102724312	3	3	0	0	0
64856	218	586	18	32	32
219293	28	12	11	17	17
83858	109	132	190	186	186
55210	58	91	189	215	215
339453	0	3	0	6	6
29101	546	430	152	162	162
643988	31	30	0	2	2
142678	103	164	62	46	46
8510	0	1	0	0	0
984	251	239	352	343	343
728661	963	255	115	65	65
8511	3	2	0	0	0
728642	132	151	357	363	363
9906	230	443	128	100	100
65220	621	524	193	200	200
2782	3304	3192	974	876	876
105378949	2	3	0	0	0
163688	0	4	3	0	0
339456	0	0	2	0	0
85452	3	0	0	0	0
2563	6	5	2	0	0
5590	177	59	200	236	236
100506504	13	10	9	2	2
199990	66	67	61	55	55
105378592	0	1	2	3	3
6497	545	683	326	304	304
105378594	0	0	0	0	0
79906	35	16	72	87	87
100129534	35	8	0	2	2
11079	799	644	643	640	640
5192	71	48	66	61	61
9651	99	31	16	77	77
55229	23	54	6	4	4
388585	2	0	0	0	0
115110	19	5	0	0	0
8764	71	117	26	17	17
100996583	0	0	0	0	0
127281	43	12	0	0	0
79258	4	0	0	0	0
100287898	0	2	0	0	0
140625	0	0	0	0	0
440556	5	7	2	2	2
63976	20	29	0	0	0
100422968	0	0	0	0	0
27237	166	84	190	152	152
1953	225	216	178	132	132
693135	0	0	0	0	0
127262	739	554	82	87	87
49856	113	115	115	57	57
7161	20	9	18	14	14
57212	176	300	30	40	40
148870	1	3	0	0	0
