GENEID,N1,N2,N3,R1,R2,R3,R4,R5
780851,2.2864,2.3708,2.9269,15.8373,15.8368,15.9283,15.8644,15.8773
7503,2,2,2,16.7944,16.7964,2,2.9259,2
26768,2.73,2.3708,2.6788,15.1099,15.0987,15.5166,15.5259,15.5213
6080,2.9094,2.3708,2,14.6527,14.6556,15.0254,15.0037,14.9978
6023,2,2,2,14.2875,14.2606,13.9546,13.924,13.9534
677767,2,2,2.379,13.5893,13.5639,13.3816,13.3873,13.3753
2944,2,2.9102,3.4867,5.6098,5.3673,14.6092,14.5834,14.6108
677775,2,2,2,11.9938,11.9407,12.2467,12.3115,12.3427
1264,9.6274,14.2169,14.2222,3.0304,2.6159,3.1772,3.9726,2
1264,9.6274,14.2169,14.2222,3.0304,2.6159,3.1772,3.9726,2
677766,2,2,2,11.83,11.7826,12.112,12.1,12.1161
692148,2,2.6656,2.9269,12.1202,12.1066,12.561,12.5765,12.5681
1674,11.5828,15.5282,15.5275,5.2236,3.8729,4.6929,4.776,4.6848
1674,11.5828,15.5282,15.5275,5.2236,3.8729,4.6929,4.776,4.6848
70,7.2268,13.1647,13.1405,2,2,2,2,2
6423,11.7043,13.4531,13.4535,2.6053,3.3772,3.728,3.8874,3.7609
692086,2.2864,2.6656,2.379,11.3333,11.382,11.9822,11.8728,11.9311
10562,12.0159,12.3168,12.2944,5.9871,5.5423,2,2,2.5204
1834,2,2,2,12.1755,12.1035,9.9172,10.0675,9.979
54577,2.2864,2,2,11.479,11.4788,10.7208,10.7384,10.6725
4512,16.5046,16.818,16.8107,7.7595,7.8104,8.1879,7.9535,8.2133
4512,16.5046,16.818,16.8107,7.7595,7.8104,8.1879,7.9535,8.2133
4514,15.0673,15.2058,15.2067,7.1459,7.298,6.642,6.6609,6.5196
4514,15.0673,15.2058,15.2067,7.1459,7.298,6.642,6.6609,6.5196
100506621,9.4006,10.7845,10.6927,2,2,2,2.9259,2
6424,8.7391,10.9023,10.838,2,2,2,2.536,2
26821,2.5252,2,2,9.8737,9.6022,10.6249,10.5947,10.5944
6043,3.9465,3.3019,3.7669,11.0573,11.0566,12.0573,12.1089,12.1141
4509,12.4645,12.6501,12.6186,4.9592,5.1246,4.1935,4.1292,4.4179
4509,12.4645,12.6501,12.6186,4.9592,5.1246,4.1935,4.1292,4.4179
378938,11.4147,11.6199,11.6056,19.4631,19.4568,19.6439,19.6579,19.6318
3119,11.2943,10.5119,10.4553,7.9172,7.8575,2,2,2
72,10.943,15.1662,15.177,5.6993,6.5789,6.4332,6.5265,5.9988
440482,5.0815,3.1193,3.7669,11.6981,11.7266,11.9324,11.8982,11.9156
4539,12.3588,12.4695,12.3602,4.5735,4.5343,4.5959,4.5171,4.2956
4539,12.3588,12.4695,12.3602,4.5735,4.5343,4.5959,4.5171,4.2956
221476,7.7988,11.1299,11.1923,2,2,2.5064,2.536,3.2036
4584,5.0436,4.7157,4.8696,12.3995,12.2514,12.975,13.0086,13.0398
6422,9.2589,11.2403,11.2136,2.6053,2.6159,2.8805,2.536,3.4529
54600,2,2.9102,2.6788,10.9397,10.828,9.8945,9.875,9.868
442590,3.2125,2.9102,2.6788,10.5113,10.4776,10.7165,10.8067,10.7805
114599,2,2.3708,2,9.5971,9.5083,10.0718,9.9751,10.0634
4513,14.7149,14.7192,14.6845,7.1245,7.0882,6.7015,7.0616,6.953
26762,2.2864,2.3708,2,2.6053,2.3406,9.9629,9.9969,10.017
3488,12.8374,12.9592,12.9114,3.6254,3.764,7.3994,7.3272,7.1774
3117,11.2128,10.358,10.3017,9.1891,9.3071,2.8805,2.536,2.2836
3117,11.2128,10.358,10.3017,9.1891,9.3071,2.8805,2.536,2.2836
4239,11.7834,13.0317,13.0053,4.91,4.6611,5.2015,5.221,5.2762
4508,14.7031,14.761,14.7549,7.2583,7.3833,7.2076,7.0905,6.9731
8483,7.1486,11.1539,11.1479,2.6053,2.6159,2.8805,2.9259,2.2836
91851,7.7874,10.5508,10.5658,2.6053,2.847,2,2,2
3493,11.2688,11.9353,12.1531,4.0454,6.2152,3.8168,3.9726,4.2303
54575,2.9094,3.7419,3.889,11.7312,11.7042,10.2387,10.3748,10.2653
8076,6.2315,10.536,10.4918,2,2,2,2.536,2
4535,14.1116,14.335,14.3455,7.2484,7.4107,6.5151,6.4981,6.5993
4535,14.1116,14.335,14.3455,7.2484,7.4107,6.5151,6.4981,6.5993
2199,9.4808,12.0767,12.0567,3.0304,2,5.6986,5.5878,5.8106
4519,14.6005,14.7759,14.7661,7.4767,7.5808,7.1827,7.1738,7.0973
4519,14.6005,14.7759,14.7661,7.4767,7.5808,7.1827,7.1738,7.0973
440689,2.73,2.3708,2.6788,10.0865,10.1418,9.8778,9.9172,9.9926
729597,3.9465,2.9102,2.6788,10.3797,10.2964,10.5749,10.6929,10.6908
11283,2,3.1193,3.1386,6.8525,6.8426,10.9722,10.956,10.9396
53826,7.6865,10.6404,10.6393,2.3342,2,3.0365,2.7441,2.5204
54657,2,2,2,9.5275,9.5334,9.3252,9.2238,9.1669
4536,14.5116,14.7967,14.7506,7.4767,7.6204,7.3181,7.1827,7.1245
4536,14.5116,14.7967,14.7506,7.4767,7.6204,7.3181,7.1827,7.1245
5175,11.4541,12.4369,12.4469,4.9592,4.6611,4.5449,4.8678,4.991
1490,9.8619,13.4358,13.3751,5.412,5.4399,5.0265,5.4461,4.8677
567,13.2332,12.6687,12.6254,6.6276,7.0769,4.7838,5.221,4.91
677841,2,2,2,9.4196,9.4633,9.1717,9.0214,9.2351
677829,2,2,2,8.9239,8.9911,9.3917,9.5299,9.442
3040,4.746,5.2027,4.2944,13.8251,13.7744,8.2208,8.0049,8.1704
3040,4.746,5.2027,4.2944,13.8251,13.7744,8.2208,8.0049,8.1704
148811,7.3328,2.6656,2,7.8793,7.7966,11.2603,11.3484,11.3258
400986,5.8251,5.3343,5.1393,13.5515,13.5349,11.806,11.7276,11.7566
730,8.6154,11.114,11.1318,2.6053,3.0462,3.1772,3.8874,3.7609
27129,6.8522,10.3836,10.4253,2,2,2.5064,2.9259,2.5204
3039,4.1021,3.1193,3.1386,12.3334,12.3717,6.5283,6.9714,6.2335
3039,4.1021,3.1193,3.1386,12.3334,12.3717,6.5283,6.9714,6.2335
400550,8.9562,9.9649,9.9695,2.6053,2.847,2,2,3.2036
692223,3.3431,2,2,9.7997,9.7682,9.3827,9.3224,9.5328
4538,15.701,15.8653,15.8359,8.7356,8.6974,8.5759,8.75,8.4467
4538,15.701,15.8653,15.8359,8.7356,8.6974,8.5759,8.75,8.4467
6876,11.9386,14.9759,14.9648,6.305,6.8426,7.3482,7.6645,7.1946
6876,11.9386,14.9759,14.9648,6.305,6.8426,7.3482,7.6645,7.1946
115207,10.9229,11.3776,11.4188,3.9513,4.3951,4.2583,3.5968,4.2956
285955,4.0264,2.9102,3.3231,10.7457,10.7886,10.2616,10.4323,10.391
100506710,9.9401,9.2723,9.266,2,3.3772,2.2753,2,2.5204
845,6.874,10.6924,10.6631,2,2,3.1772,3.4853,3.0607
126393,7.7229,11.3258,11.4364,3.2037,3.0462,2.8805,4.1292,4.2303
126393,7.7229,11.3258,11.4364,3.2037,3.0462,2.8805,4.1292,4.2303
5549,9.0063,11.2185,11.2136,3.6254,3.8729,3.9004,4.2015,2.5204
642517,5.2902,5.9953,5.3237,12.5155,12.588,12.5971,12.5377,12.565
1758,2,2,2,10.2349,10.1018,7.9535,7.8162,7.7949
5740,9.3057,11.8789,11.8231,4.0454,4.3951,4.1256,3.9726,4.2303
727684,2,2,2,8.9636,9.1126,9.1115,8.9497,8.902
677772,2,2.6656,2,9.257,9.1591,9.2294,9.2368,9.2099
677832,2,2.9102,2.6788,9.413,9.428,9.6278,9.5263,9.5712
28797,9.6258,9.4713,9.2939,3.3584,3.0462,2,2.2928,2
91461,6.4208,10.2538,10.1679,2,2,2.8805,2.536,2.5204
7077,12.0849,13.5147,13.5332,6.0106,5.7277,6.0677,6.3627,6.6749
5314,6.1973,3.1193,4.2944,10.703,10.6953,11.5994,11.6376,11.6163
100033428,2,2,2,8.9993,8.8078,8.9639,9.0584,8.8016
54579,2.2864,2,2,9.2741,9.1751,8.7718,8.9097,8.8267
5121,5.8251,10.2074,10.1313,2,2,2.7055,2.2928,2.7239
23117,5.2239,5.2027,5.3237,12.6222,12.7132,11.8107,11.655,11.6899
23117,5.2239,5.2027,5.3237,12.6222,12.7132,11.8107,11.655,11.6899
7012,2,2.3708,2,8.791,8.8146,9.0093,9.0753,9.1181
399959,7.7289,9.2994,9.2828,2,2,2,2,2
6192,9.393,10.4062,10.3383,3.6254,4.2412,12.3723,12.2729,12.3335
10398,10.7954,14.4222,14.4041,6.4668,6.5789,6.7919,6.864,7.0124
119587,7.8492,10.6319,10.678,3.3584,3.518,3.1772,2.536,3.2036
6317,9.9154,10.0912,9.985,8.9177,8.9135,3.1772,3.0874,2.2836
3779,7.2183,9.9834,10.0221,2.6053,2,2.5064,2.536,2.9021
693197,2,2,2,8.8957,8.6484,8.8209,8.7227,8.8016
8653,9.2083,10.2988,10.2528,3.0304,3.3772,11.277,11.3152,11.3082
728888,3.9465,3.9749,4.3801,10.6912,10.7128,10.8972,10.9941,10.9724
388697,2.5252,3.1193,3.1386,11.1376,11.0245,7.8782,7.8892,7.893
55000,11.1999,10.9355,10.9501,4.8063,5.1246,3.9004,3.7969,4.0902
677808,2.5252,2,2,9.1151,8.9419,8.7324,8.6947,8.9356
341640,3.772,3.1193,2.379,7.1028,7.1758,10.4795,10.588,10.5221
677771,2,2,2,8.7178,8.6017,8.7801,8.701,8.6631
5737,8.02,9.2967,9.39,2,2,2.7055,2,2.7239
100033435,2.5252,2,2,9.2322,9.2426,8.6259,8.5324,8.5065
6401,7.5713,10.593,10.4329,2,2.847,3.728,4.053,3.3336
100506217,2,2,2,9.4586,9.3896,7.9778,7.9897,8.0095
100033420,2,2,2,8.5231,8.5078,8.769,8.7318,8.6256
677774,2,2,2.379,8.4345,8.2546,9.0579,8.907,8.8702
54658,4.3706,3.464,3.3231,10.1711,10.1952,10.3802,10.3361,10.3561
2669,8.1639,11.0909,11.0565,3.6254,4.2412,3.0365,3.7003,4.4179
4703,4.5969,3.6096,4.2944,11.3656,11.4702,10.0559,10.1793,10.0739
776,6.0711,4.3515,4.6105,9.9729,10.0779,12.133,12.1409,12.1087
728378,2,2,2.6788,9.6598,9.4055,8.0344,8.1214,8.1617
8345,2.2864,3.1193,2,8.4858,8.4386,9.2355,9.3224,9.3296
441273,2.5252,2.3708,2.6788,8.7035,8.6561,9.2712,9.2151,9.3907
441273,2.5252,2.3708,2.6788,8.7035,8.6561,9.2712,9.2151,9.3907
1809,10.597,12.4584,12.5246,5.5143,5.251,5.1682,5.5045,5.7184
7644,8.3266,7.4135,7.4282,13.7423,13.7457,14.5143,14.5259,14.4895
8346,2,2,2,8.0308,8.1665,8.7939,8.6534,8.8914
8346,2,2,2,8.0308,8.1665,8.7939,8.6534,8.8914
100505881,7.6926,9.0382,9.2202,2.3342,2.6159,2,2,2
286133,8.2202,10.6072,10.6361,4.5735,4.0687,3.4233,2.536,3.2036
54659,2.5252,2,3.1386,9.3149,9.3919,8.741,8.8062,8.9202
8284,9.0259,10.0928,10.0777,2.6053,3.2212,10.4303,10.6418,10.4343
8284,9.0259,10.0928,10.0777,2.6053,3.2212,10.4303,10.6418,10.4343
114827,4.6483,4.1755,3.889,8.4389,8.1285,11.4051,11.4692,11.4667
1272,7.6803,9.7421,9.8469,5.2633,5.2101,2,2,2
613037,3.5734,3.8631,3.889,10.5479,10.2568,10.0796,10.2255,10.0314
613037,3.5734,3.8631,3.889,10.5479,10.2568,10.0796,10.2255,10.0314
613037,3.5734,3.8631,3.889,10.5479,10.2568,10.0796,10.2255,10.0314
729857,3.772,2.6656,3.6336,10.0948,9.9656,9.8817,9.5714,9.3548
3507,9.9581,8.6575,8.9137,3.0304,2,2.8805,3.2326,2.9021
619383,2.2864,2,2.6788,8.5949,8.512,8.7152,9.1504,8.6538
652965,3.4628,3.7419,3.6336,10.043,9.9945,10.0819,10.0688,9.9628
4974,2,3.3019,2.9269,9.3172,9.4213,8.9927,8.877,8.9534
1805,6.0898,9.7868,9.8087,2,2,2.5064,3.2326,3.3336
374650,3.8618,4.2662,3.1386,10.4513,10.4171,9.8518,9.9319,9.9914
7404,7.1839,8.3032,8.2095,3.7424,4.7778,12.0731,12.0843,12.0999
8969,3.2125,2.3708,2,8.618,8.5162,9.1311,9.0584,9.0862
8969,3.2125,2.3708,2,8.618,8.5162,9.1311,9.0584,9.0862
677800,2,2,2,8.0423,8.1175,8.6042,8.6042,8.5606
101060376,3.5734,2.3708,2,8.5434,8.4253,9.2435,9.3565,9.2099
22915,9.12,10.4744,10.3003,3.8506,4.0687,2.8805,3.7003,3.7609
3569,5.8907,9.9445,9.873,2.6053,3.6462,2,3.5968,2
28774,2.2864,9.922,9.9274,3.3584,3.3772,2.2753,3.0874,2.7239
6444,7.6926,9.8723,9.7394,2,2,4.2583,3.7003,3.2036
5730,10.1319,10.5575,10.6163,3.6254,3.3772,4.9103,4.1292,4.7327
219654,9.1177,10.4112,10.3369,3.8506,3.6462,3.4233,3.4853,3.8506
219654,9.1177,10.4112,10.3369,3.8506,3.6462,3.4233,3.4853,3.8506
677777,2.73,3.464,2.6788,9.2095,9.2324,9.3552,9.3184,9.3238
4129,7.5911,9.6587,9.485,2.6053,2,3.1772,2.536,3.3336
677807,2.2864,2.3708,2,8.3309,8.2546,8.6772,8.7288,8.7118
5239,8.0774,11.6439,11.6746,4.8591,4.4664,3.9794,4.8226,4.5307
338773,8.7182,9.9817,9.966,3.6254,4.5343,3.3055,2.536,2.9021
624,8.8856,9.9884,9.9398,3.0304,3.3772,4.3204,3.2326,2.9021
54492,8.8722,10.1219,10.0584,4.2957,3.2212,3.3055,3.3645,3.0607
2252,9.2936,10.4492,10.3792,2.6053,3.764,4.2583,4.3362,4.2956
85352,6.8631,9.1316,9.3347,2,2.6159,2,2.536,2.5204
11037,8.0297,8.7468,8.8846,3.0304,2.3406,2,2,2.2836
4629,7.9448,10.0197,10.784,4.9592,4.5343,2.5064,3.2326,3.2036
3008,2.5252,3.6096,2.9269,9.2019,9.1265,9.3809,9.3975,9.1907
3008,2.5252,3.6096,2.9269,9.2019,9.1265,9.3809,9.3975,9.1907
441272,4.1021,4.6498,4.6105,10.9258,10.8868,10.5247,10.6491,10.5365
8287,8.0394,8.3454,8.1977,4.217,4.8327,12.2276,12.2632,12.2521
3123,11.4738,6.9077,6.9974,3.2037,3.0462,2.8805,2.536,2.5204
3123,11.4738,6.9077,6.9974,3.2037,3.0462,2.8805,2.536,2.5204
283120,6.18,8.1268,9.6941,10.3032,10.6953,3.728,3.3645,3.0607
83543,6.7142,8.9622,9.0958,2,3.0462,2,2,2
687,8.8114,10.4991,10.4955,4.0454,3.764,4.3204,3.2326,3.6654
2532,8.0442,9.5945,9.5741,2,3.0462,3.6334,2.9259,3.2036
1116,11.3409,10.6467,10.5439,4.217,4.4664,4.4919,4.8678,5.2435
100033427,2,2,2,8.5792,8.4606,7.8203,8.025,8.1396
28784,8.6442,8.7389,8.8132,2.6053,2,3.0365,2.536,2.5204
8367,2.9094,2,2,8.3402,8.4562,8.4704,8.6662,8.4927
8367,2.9094,2,2,8.3402,8.4562,8.4704,8.6662,8.4927
140458,4.1021,8.9588,9.2603,2,2,2,2,2
140458,4.1021,8.9588,9.2603,2,2,2,2,2
5742,8.9122,12.1023,12.0636,5.0528,4.5991,5.2341,5.3218,5.4583
2731,6.1446,3.464,4.0015,6.9286,6.7313,11.2378,11.174,11.1676
84935,6.5481,9.4326,9.5512,2,2.6159,2.8805,2.536,2.9021
348093,5.4142,9.644,9.5185,2,2.6159,3.4233,2,2.9021
654433,8.155,8.7468,8.7502,2.6053,3.764,2,2,2
677806,2.73,2,2,8.2492,7.7757,8.689,8.7379,8.4395
5270,10.1194,10.7147,10.7781,4.0454,3.9741,4.437,4.4593,5.21
22829,6.1266,7.2453,7.356,2,3.0462,10.1118,10.1893,10.0958
92249,7.63,8.8784,8.6801,2,2,2.7055,2.9259,2
100132406,4.3706,5.2479,5.2798,11.2456,11.0022,10.7365,10.9813,11.4019
1300,3.5734,3.1193,2.379,9.4196,9.3407,8.9832,8.9043,8.9228
253827,9.3295,11.6907,11.6244,5.1827,5.168,4.7391,5.221,4.3581
440348,2,5.3343,5.0374,7.6589,7.6282,10.6961,10.6131,10.5822
51285,7.8381,9.5251,9.5279,3.0304,3.3772,2.8805,3.7003,2
51012,8.5794,8.3244,8.2385,2,2.6159,2.5064,2,2.2836
