"","User_ID sorted by SD","Ensembl_gene_id","symbol","N1","N2","N3","R1","R2","R3","R4","R5"
"1"," 780851","","",2.2864,2.3708,2.9269,15.8373,15.8368,15.9283,15.8644,15.8773
"2"," 7503","","",2,2,2,16.7944,16.7964,2,2.9259,2
"3"," 26768","ENSG00000121310","  ECHDC2;ECHDC2",2.73,2.3708,2.6788,15.1099,15.0987,15.5166,15.5259,15.5213
"4"," 6080","","",2.9094,2.3708,2,14.6527,14.6556,15.0254,15.0037,14.9978
"5"," 6023","","",2,2,2,14.2875,14.2606,13.9546,13.924,13.9534
"6"," 677767","","",2,2,2.379,13.5893,13.5639,13.3816,13.3873,13.3753
"7"," 2944","ENSG00000134184","  GSTM1;GSTM1",2,2.9102,3.4867,5.6098,5.3673,14.6092,14.5834,14.6108
"8"," 677775","","",2,2,2,11.9938,11.9407,12.2467,12.3115,12.3427
"9"," 1264","ENSG00000130176","  CNN1;HEL-S-14",9.6274,14.2169,14.2222,3.0304,2.6159,3.1772,3.9726,2
"10"," 1264","ENSG00000130176","  CNN1;CNN1",9.6274,14.2169,14.2222,3.0304,2.6159,3.1772,3.9726,2
"11"," 677766","","",2,2,2,11.83,11.7826,12.112,12.1,12.1161
"12"," 692148","","",2,2.6656,2.9269,12.1202,12.1066,12.561,12.5765,12.5681
"13"," 1674","ENSG00000175084","  DES;DES",11.5828,15.5282,15.5275,5.2236,3.8729,4.6929,4.776,4.6848
"14"," 1674","ENSG00000175084","  DES;tmp_locus_29",11.5828,15.5282,15.5275,5.2236,3.8729,4.6929,4.776,4.6848
"15"," 70","ENSG00000159251","  ACTC1;ACTC1",7.2268,13.1647,13.1405,2,2,2,2,2
"16"," 6423","ENSG00000145423","  SFRP2;SFRP2",11.7043,13.4531,13.4535,2.6053,3.3772,3.728,3.8874,3.7609
"17"," 692086","","",2.2864,2.6656,2.379,11.3333,11.382,11.9822,11.8728,11.9311
"18"," 10562","ENSG00000179593","  ALOX15B;ALOX15B",12.0159,12.3168,12.2944,5.9871,5.5423,2,2,2.5204
"19"," 1834","ENSG00000152591","  DSPP;DSPP",2,2,2,12.1755,12.1035,9.9172,10.0675,9.979
"20"," 54577","ENSG00000182459","  TEX19;TEX19",2.2864,2,2,11.479,11.4788,10.7208,10.7384,10.6725
"21"," 4512","ENSG00000198804","  MT-CO1;COX1",16.5046,16.818,16.8107,7.7595,7.8104,8.1879,7.9535,8.2133
"22"," 4512","ENSG00000198804","  MT-CO1;MT-CO1",16.5046,16.818,16.8107,7.7595,7.8104,8.1879,7.9535,8.2133
"23"," 4514","ENSG00000198938","  MT-CO3;MT-CO3",15.0673,15.2058,15.2067,7.1459,7.298,6.642,6.6609,6.5196
"24"," 4514","ENSG00000198938","  MT-CO3;COX3",15.0673,15.2058,15.2067,7.1459,7.298,6.642,6.6609,6.5196
"25"," 100506621","","",9.4006,10.7845,10.6927,2,2,2,2.9259,2
"26"," 6424","ENSG00000106483","  SFRP4;SFRP4",8.7391,10.9023,10.838,2,2,2,2.536,2
"27"," 26821","","",2.5252,2,2,9.8737,9.6022,10.6249,10.5947,10.5944
"28"," 6043","","",3.9465,3.3019,3.7669,11.0573,11.0566,12.0573,12.1089,12.1141
"29"," 4509","ENSG00000228253","  MT-ATP8;ATP8",12.4645,12.6501,12.6186,4.9592,5.1246,4.1935,4.1292,4.4179
"30"," 4509","ENSG00000228253","  MT-ATP8;MT-ATP8",12.4645,12.6501,12.6186,4.9592,5.1246,4.1935,4.1292,4.4179
"31"," 378938","","",11.4147,11.6199,11.6056,19.4631,19.4568,19.6439,19.6579,19.6318
"32"," 3119","ENSG00000123165","  ACTRT1;ACTRT1",11.2943,10.5119,10.4553,7.9172,7.8575,2,2,2
"33"," 72","ENSG00000163017","  ACTG2;ACTG2",10.943,15.1662,15.177,5.6993,6.5789,6.4332,6.5265,5.9988
"34"," 440482","","",5.0815,3.1193,3.7669,11.6981,11.7266,11.9324,11.8982,11.9156
"35"," 4539","ENSG00000212907","  MT-ND4L;MT-ND4L",12.3588,12.4695,12.3602,4.5735,4.5343,4.5959,4.5171,4.2956
"36"," 4539","ENSG00000212907","  MT-ND4L;ND4L",12.3588,12.4695,12.3602,4.5735,4.5343,4.5959,4.5171,4.2956
