,GSM4989597,GSM4989598,GSM4989599,GSM4989600,GSM4989601,GSM4989612,GSM4989613,GSM4989614,GSM4989615,GSM4989616
Geneid,nonrel1,nonrel2,nonrel3,nonrel4,nonrel5,rec1,rec2,rec3,rec4,rec5
ENSG00000223972.5,0,0,1,0,1,0,0,0,0,0
ENSG00000227232.5,277,191,408,52,301,381,1110,142,221,126
ENSG00000278267.1,19,21,18,22,66,49,32,36,24,3
ENSG00000243485.5,0,0,0,0,0,0,0,0,0,0
ENSG00000284332.1,0,0,0,0,0,0,0,0,0,0
ENSG00000237613.2,0,0,0,0,0,0,0,0,0,0
ENSG00000268020.3,0,0,0,0,0,0,0,0,0,0
ENSG00000240361.2,0,0,0,0,0,0,0,0,0,0
ENSG00000186092.7,0,0,0,0,0,0,0,0,0,0
ENSG00000238009.6,0,0,0,0,0,0,0,0,1,0
ENSG00000239945.1,0,0,0,0,0,0,0,0,0,0
ENSG00000233750.3,1,2,7,34,0,0,4,0,0,30
ENSG00000268903.1,26,7,28,191,2,4,140,3,4,137
ENSG00000269981.1,3,1,3,17,4,2,21,3,0,0
ENSG00000239906.1,0,2,0,3,1,0,4,0,0,0
ENSG00000241860.7,0,3,14,3,4,15,0,5,6,4
ENSG00000222623.1,0,0,0,0,0,0,0,0,0,0
ENSG00000241599.1,0,0,0,0,0,0,0,0,0,0
ENSG00000279928.2,0,0,0,0,2,0,0,0,0,0
ENSG00000279457.4,923,353,762,194,626,528,384,488,384,222
ENSG00000273874.1,1,0,0,1,0,0,0,2,0,0
ENSG00000228463.10,4,0,10,2,47,0,0,14,2,0
ENSG00000286448.1,0,0,1,0,0,0,0,0,0,0
ENSG00000236679.2,2,0,0,0,0,0,0,1,0,1
ENSG00000236601.2,1,0,0,0,0,1,0,0,0,0
ENSG00000237094.12,3,59,3,2,7,19,11,25,7,1
ENSG00000269732.1,0,0,0,0,0,0,0,0,0,0
ENSG00000284733.2,0,0,0,0,0,0,0,0,0,0
ENSG00000233653.3,0,0,0,0,0,0,0,0,0,0
ENSG00000250575.1,4,9,1,2,2,1,3,5,1,1
ENSG00000278757.1,0,0,0,0,0,0,0,0,0,0
ENSG00000230021.10,16,9,8,21,15,10,41,58,2,17
ENSG00000235146.2,0,0,0,0,0,0,0,0,0,0
ENSG00000225972.1,497,316,781,1518,81,64,471,64,353,920
ENSG00000225630.1,7256,40487,9997,70913,8523,9200,46647,32699,7827,74298
ENSG00000237973.1,8306,19718,14955,360100,45065,5010,16772,2649,3881,25853
ENSG00000278791.1,0,0,0,0,0,0,0,0,0,0
ENSG00000229344.1,22,124,62,198,12,35,48,11,34,151
ENSG00000240409.1,0,13,2,22,1,0,9,0,0,14
ENSG00000248527.1,36994,101051,50326,102473,11831,20386,88205,11219,12501,102870
ENSG00000198744.5,78,330,151,496,35,48,192,17,40,432
ENSG00000268663.1,0,0,0,0,0,0,0,0,0,0
ENSG00000284662.1,0,0,0,0,0,0,0,0,0,0
ENSG00000229376.3,1,4,0,0,3,1,1,10,0,0
ENSG00000228327.3,127,217,87,51,157,202,151,511,100,8
ENSG00000223181.1,0,0,0,0,0,0,0,0,0,0
ENSG00000229905.1,0,0,0,0,2,0,0,1,0,0
ENSG00000237491.10,48,34,61,9,50,35,64,68,55,8
ENSG00000285268.1,0,0,0,0,0,0,0,0,0,0
ENSG00000230092.7,0,0,7,0,11,2,5,5,4,0
ENSG00000177757.2,1,4,2,3,3,5,0,2,0,0
ENSG00000228794.10,274,171,221,85,232,225,332,239,134,70
ENSG00000225880.5,50,25,20,5,22,29,44,52,13,2
ENSG00000288531.1,2,1,0,0,0,0,0,0,0,1
ENSG00000230368.2,0,0,1,0,0,0,0,1,0,0
ENSG00000234711.1,1,0,0,0,0,0,0,0,0,0
ENSG00000283040.1,0,0,0,0,0,0,0,0,0,0
ENSG00000272438.1,29,96,5,3,3,1,15,6,1,11
ENSG00000230699.2,31,151,2,132,5,5,654,22,1,9
ENSG00000241180.1,9,52,1,7,1,1,3,4,0,42
ENSG00000223764.2,252,304,129,16,23,13,76,45,2,86
ENSG00000187634.13,74,201,47,10,26,28,46,126,8,57
ENSG00000188976.11,1715,1821,1284,611,2647,1729,1540,2696,2411,545
ENSG00000187961.14,1179,966,876,199,287,89,872,434,636,259
ENSG00000187583.11,2294,855,1613,312,406,423,621,691,1368,662
ENSG00000187642.9,51,71,92,5,21,21,199,18,91,19
ENSG00000272512.1,1016,805,898,17,425,205,195,61,22,72
ENSG00000188290.11,6268,2804,6068,440,2002,1081,1051,311,157,1605
ENSG00000187608.10,2411,3286,3585,8788,2804,429,477,3170,542,317
ENSG00000231702.2,4,10,2,0,0,2,0,2,0,1
ENSG00000224969.1,47,5,21,0,7,7,1,6,1,0
ENSG00000188157.15,11724,10885,7797,2649,15222,16999,7165,8988,5539,1530
ENSG00000242590.1,0,0,0,0,0,0,0,0,0,0
ENSG00000217801.10,907,469,360,31,170,259,119,70,63,39
ENSG00000273443.1,38,38,16,0,19,13,0,0,2,0
ENSG00000237330.3,353,335,245,14,346,403,91,37,87,47
ENSG00000131591.18,1740,636,1984,461,739,794,1308,711,1214,409
ENSG00000285812.1,9,13,9,5,27,9,3,17,4,3
ENSG00000223823.1,36,24,19,5,1,20,4,3,2,5
ENSG00000207730.3,48,57,18,5,63,139,68,88,17,0
ENSG00000207607.3,78,41,22,6,36,111,35,56,24,1
ENSG00000198976.1,236,104,132,51,75,179,195,123,97,7
ENSG00000272141.1,2352,971,2275,505,334,745,2772,540,537,444
ENSG00000205231.1,7,7,2,0,0,14,4,0,0,0
ENSG00000162571.14,79,40,44,9,2,70,65,1,1,15
ENSG00000186891.14,207,396,247,12,45,34,7,25,16,9
ENSG00000186827.11,147,21,232,6,33,18,18,33,27,4
ENSG00000078808.19,3028,2093,2252,757,2586,4001,2010,3406,2532,599
ENSG00000176022.7,615,520,514,111,394,743,117,412,399,112
ENSG00000184163.3,67,373,115,26,15,73,160,59,65,10
ENSG00000260179.1,20,13,70,10,11,20,32,7,13,4
ENSG00000160087.21,1784,1077,1528,487,1064,1136,1123,1286,1364,363
ENSG00000230415.1,22,36,28,2,11,12,10,7,14,9
ENSG00000162572.21,154,396,75,39,47,68,199,11,32,50
ENSG00000131584.19,4412,3913,4190,1543,3330,3344,3401,1125,4331,1088
ENSG00000278073.1,0,0,0,0,0,0,0,0,0,0
ENSG00000169972.12,306,196,325,83,368,344,131,250,723,43
ENSG00000127054.21,3386,2642,4321,1049,2271,2725,4412,3027,3095,1242
ENSG00000283712.1,0,0,0,0,0,0,0,0,0,0
ENSG00000240731.1,123,94,143,27,95,130,128,181,112,27
ENSG00000224051.7,794,473,971,373,493,899,270,643,919,105
ENSG00000169962.5,25,4,7,2,16,37,15,5,4,3
ENSG00000107404.20,2479,1872,2293,987,3054,2876,2750,1942,3203,667
ENSG00000284372.1,0,0,0,0,0,0,0,0,0,0
ENSG00000162576.17,1002,771,722,127,988,408,364,698,1640,114
ENSG00000175756.13,2560,1560,2154,847,1926,1516,1175,1781,2349,1081
ENSG00000223663.2,2,0,4,0,1,6,7,5,7,0
ENSG00000221978.12,12708,7639,13798,4795,6769,5749,19519,9602,5108,5807
ENSG00000224870.7,480,230,468,83,430,530,163,754,828,91
ENSG00000242485.6,1395,828,833,253,1670,1248,577,1702,1983,285
ENSG00000264293.2,0,0,0,0,0,0,0,0,0,0
ENSG00000272455.1,168,72,136,10,110,101,60,130,138,12
ENSG00000235098.9,3632,963,2783,312,2987,1737,1036,30,502,764
ENSG00000225905.1,26,7,12,2,13,10,12,0,3,0
