Geneid,N2,N2,R1,R2
DDX11L1,0,0,1,2
WASH7P,40,48,116,106
MIR6859-1,0,0,1,0
MIR1302-2,0,0,0,0
FAM138A,0,0,1,0
OR4F5,0,0,0,0
LOC729737,35,38,750,697
DDX11L17,0,0,4,0
WASH9P,43,49,217,210
MIR6859-2,0,2,2,1
OR4F29,0,0,0,0
LOC100132287,3,7,154,154
LOC105378947,0,2,0,0
LOC101928626,1,0,0,0
NA,28,32,0,0
OR4F16,0,0,0,0
NA,10,9,1227,1257
LOC100288069,11,6,19,6
FAM87B,2,4,2,0
LINC00115,0,7,34,32
LINC01128,133,160,3,4
FAM41C,0,0,0,0
LINC02593,14,9,0,0
SAMD11,34,45,2,3
NOC2L,388,423,484,524
KLHL17,51,49,28,23
PLEKHN1,46,10,94,78
PERM1,12,2,57,56
HES4,5,6,79,67
ISG15,88,53,10,10
AGRN,663,297,2056,1940
NA,0,1,0,0
LOC105378948,5,0,1,1
RNF223,1,0,8,4
C1orf159,49,49,71,56
LINC01342,0,0,0,0
MIR200B,0,0,8,10
MIR200A,1,0,7,6
MIR429,2,0,13,16
TTLL10,1,1,18,10
TNFRSF18,12,2,0,5
TNFRSF4,14,10,0,4
SDF4,754,757,226,179
B3GALT6,117,94,0,0
C1QTNF12,2,3,4,3
UBE2J2,177,166,154,134
SCNN1D,13,25,3,7
ACAP3,180,308,156,196
MIR6726,0,0,0,0
PUSL1,22,18,25,33
INTS11,440,483,293,234
MIR6727,0,0,1,0
CPTP,49,61,48,30
TAS1R3,25,13,12,17
DVL1,118,176,204,187
MIR6808,0,0,0,0
MXRA8,426,739,53,86
AURKAIP1,173,109,55,68
CCNL2,1822,1575,1990,2020
MRPL20-AS1,145,71,34,18
MRPL20,242,217,193,192
ANKRD65,215,106,18,39
TMEM88B,0,0,0,0
LINC01770,3,3,0,0
VWA1,218,586,18,32
ATAD3C,28,12,11,17
ATAD3B,109,132,190,186
ATAD3A,58,91,189,215
TMEM240,0,3,0,6
SSU72,546,430,152,162
FNDC10,31,30,0,2
MIB2,103,164,62,46
MMP23B,0,1,0,0
CDK11B,251,239,352,343
SLC35E2B,963,255,115,65
MMP23A,3,2,0,0
CDK11A,132,151,357,363
SLC35E2A,230,443,128,100
NADK,621,524,193,200
GNB1,3304,3192,974,876
LOC105378949,2,3,0,0
CALML6,0,4,3,0
TMEM52,0,0,2,0
CFAP74,3,0,0,0
GABRD,6,5,2,0
PRKCZ,177,59,200,236
PRKCZ-AS1,13,10,9,2
FAAP20,66,67,61,55
NA,0,1,2,3
SKI,545,683,326,304
NA,0,0,0,0
MORN1,35,16,72,87
LOC100129534,35,8,0,2
RER1,799,644,643,640
PEX10,71,48,66,61
PLCH2,99,31,16,77
PANK4,23,54,6,4
HES5,2,0,0,0
TNFRSF14-AS1,19,5,0,0
TNFRSF14,71,117,26,17
LOC100996583,0,0,0,0
PRXL2B,43,12,0,0
MMEL1,4,0,0,0
TTC34,0,2,0,0
ACTRT2,0,0,0,0
PRDM16-DT,5,7,2,2
PRDM16,20,29,0,0
MIR4251,0,0,0,0
ARHGEF16,166,84,190,152
MEGF6,225,216,178,132
MIR551A,0,0,0,0
TPRG1L,739,554,82,87
WRAP73,113,115,115,57
TP73,20,9,18,14
TP73-AS1,176,300,30,40
CCDC27,1,3,0,0
SMIM1,4,2,2,0
LRRC47,331,331,150,127
CEP104,483,448,586,587
DFFB,85,58,47,32
C1orf174,221,148,223,260
LINC01134,4,0,0,0
LINC01346,1,1,0,0
LINC01777,0,0,0,0
AJAP1,23,12,40,25
NA,0,0,0,0
MIR4689,0,0,0,0
NPHP4,96,113,130,130
KCNAB2,329,244,56,47
CHD5,5,8,4,10
RPL22,3591,2084,2317,2012
RNF207-AS1,0,2,0,1
RNF207,147,107,201,171
ICMT,1017,840,89,104
LINC00337,1,0,0,0
HES3,0,0,0,0
GPR153,110,197,4,6
ACOT7,125,173,62,37
HES2,20,34,4,0
ESPN,7,4,26,16
MIR4252,0,0,0,0
TNFRSF25,116,65,145,117
PLEKHG5,154,103,594,568
NOL9,178,154,416,353
TAS1R1,4,3,0,8
ZBTB48,205,178,141,142
KLHL21,377,656,29,38
PHF13,192,200,133,118
THAP3,72,86,47,48
DNAJC11,296,217,338,412
LINC01672,0,0,0,0
CAMTA1,159,157,226,260
VAMP3,1467,1190,282,203
PER3,204,651,595,677
UTS2,2,2,0,6
TNFRSF9,40,19,0,4
PARK7,1201,949,1760,1756
ERRFI1,469,1176,1048,1005
LINC01714,0,0,0,0
SLC45A1,7,18,2,8
RERE,1444,1047,2675,2404
RERE-AS1,0,3,0,1
ENO1,5024,3550,3109,3104
MIR6728,0,0,0,0
ENO1-AS1,0,0,0,0
CA6,0,0,0,2
SLC2A7,0,0,0,0
SLC2A5,48,34,8,4
GPR157,108,73,25,30
MIR34A,0,0,10,8
H6PD,1552,775,880,864
SPSB1,199,293,25,28
LINC02606,12,23,0,0
SLC25A33,60,74,35,37
TMEM201,69,85,57,47
PIK3CD,572,326,187,172
PIK3CD-AS1,4,2,8,8
PIK3CD-AS2,6,8,0,0
CLSTN1,1488,1307,965,1025
CTNNBIP1,227,198,26,37
LZIC,232,143,187,224
NMNAT1,133,98,14,17
MIR5697,0,0,0,0
NA,0,0,0,0
RBP7,21,73,21,20
UBE4B,806,609,1434,1313
KIF1B,619,628,2578,2319
NA,0,0,0,0
PGD,1274,673,567,481
CENPS-CORT,0,0,0,0
CENPS,7,2,0,0
CORT,0,0,0,0
DFFA,271,158,84,87
PEX14,129,311,325,343
CASZ1,122,262,838,692
C1orf127,1,2,0,0
TARDBP,1688,1143,2170,2093
MASP2,19,12,111,108
SRM,283,323,58,43
EXOSC10,554,439,801,818
MTOR,759,696,1725,1700
MTOR-AS1,0,0,0,3
ANGPTL7,2,35,67,77
UBIAD1,233,163,291,272
DISP3,4,2,6,10
LINC01647,0,0,0,0
FBXO2,36,7,4,6
FBXO44,145,118,71,42
FBXO6,149,67,67,59
MAD2L2,127,83,50,59
DRAXIN,0,0,0,0
AGTRAP,174,173,50,56
C1orf167,0,1,0,2
C1orf167-AS1,0,0,0,0
MTHFR,371,300,334,279
CLCN6,173,216,250,255
NPPA-AS1,9,2,1,1
NPPA,0,0,6,8
NPPB,0,0,0,0
RNU5E-1,0,0,0,2
KIAA2013,408,531,105,123
PLOD1,878,998,392,382
MFN2,1354,1375,1714,1647
MIIP,98,104,56,65
MIR6729,0,0,0,0
TNFRSF8,35,29,0,2
MIR7846,0,0,0,0
TNFRSF1B,901,895,50,57
MIR4632,0,0,0,0
VPS13D,1346,550,5881,5553
SNORA59A,3,1,8,9
DHRS3,949,458,823,796
MIR6730,0,1,0,0
AADACL4,0,0,0,0
AADACL3,0,0,0,0
C1orf158,0,0,0,0
PRAMEF12,0,0,0,0
PRAMEF1,0,0,0,0
PRAMEF11,0,0,0,0
HNRNPCL1,0,1,0,2
PRAMEF2,0,0,2,2
PRAMEF4,0,0,0,0
PRAMEF10,0,0,0,0
PRAMEF7,0,0,0,0
PRAMEF6,0,0,0,0
PRAMEF22,0,0,0,0
PRAMEF28P,0,0,0,0
PRAMEF27,0,0,0,0
HNRNPCL3,0,0,0,0
PRAMEF25,0,0,0,0
PRAMEF34P,0,0,0,0
HNRNPCL2,0,0,0,0
PRAMEF36P,0,0,0,0
PRAMEF26,0,0,0,0
HNRNPCL4,0,0,0,0
PRAMEF9,0,0,0,0
PRAMEF13,0,0,0,0
PRAMEF18,0,0,0,0
PRAMEF5,0,0,0,0
PRAMEF8,0,0,0,0
PRAMEF33,0,0,0,0
PRAMEF15,0,0,0,0
PRAMEF14,0,0,0,0
PRAMEF19,0,0,0,0
PRAMEF17,0,0,0,0
PRAMEF20,0,0,0,0
LRRC38,0,2,0,2
PDPN,921,724,29,42
PRDM2,1098,723,1385,1303
KAZN,151,256,67,67
TMEM51-AS1,154,19,3,3
TMEM51,558,226,335,310
TMEM51-AS2,0,0,475,516
FHAD1,24,12,329,259
FHAD1-AS1,5,3,0,0
EFHD2,1088,507,1131,1008
CTRC,0,0,25,22
CELA2A,2,0,3,4
CELA2B,0,1,52,61
CASP9,151,164,116,152
DNAJC16,419,223,464,459
AGMAT,48,12,43,25
DDI2,122,45,476,398
RSC1A1,96,41,174,178
PLEKHM2,614,767,361,367
SLC25A34,9,25,0,4
TMEM82,0,0,0,0
FBLIM1,896,722,108,92
UQCRHL,59,23,80,37
FLJ37453,22,26,0,2
SPEN,1260,639,2987,2805
ZBTB17,124,193,116,115
TBC1D3P6,0,0,0,0
SRARP,0,0,0,0
HSPB7,127,1136,0,0
CLCNKA,4,0,6,8
CLCNKB,0,5,3,2
FAM131C,0,2,0,0
EPHA2,589,1507,1642,1754
ARHGEF19,127,84,74,63
ANO7L1,0,1,0,0
CPLANE2,13,22,2,2
FBXO42,252,230,340,348
SZRD1,1255,1160,263,229
SPATA21,0,0,15,12
NECAP2,851,529,176,208
CROCCP3,23,11,30,27
RNU1-1,1,0,0,0
NA,0,0,0,0
NA,0,0,0,0
NA,0,1,0,1
NA,0,0,0,0
TRG-CCC1-1,0,0,0,0
NBPF1,117,92,1442,1242
CROCCP2,93,128,43,27
MST1P2,15,14,135,104
RNU1-3,0,0,0,0
NA,0,0,0,0
NA,0,0,0,0
ESPNP,0,0,2,4
TRG-CCC5-1,0,0,0,0
NA,0,0,0,0
RNU1-4,0,0,0,0
MST1L,10,2,6,6
MIR3675,0,0,0,0
TRG-CCC1-2,0,0,0,0
TRE-TTC3-1,0,0,0,0
TRN-GTT4-1,0,0,0,0
CROCC,82,74,190,143
RNU1-2,0,0,0,0
MFAP2,108,204,50,52
ATP13A2,282,275,473,484
SDHB,531,374,800,753
PADI2,97,65,4,12
PADI1,33,56,32,44
PADI3,454,490,731,766
MIR3972,1,1,0,0
PADI4,17,13,6,2
PADI6,0,0,0,0
RCC2,1136,720,744,796
ARHGEF10L,577,569,839,826
ACTL8,0,0,0,0
LINC01654,0,0,0,0
IGSF21,8,52,2,0
KLHDC7A,534,44,25,32
PAX7,0,0,0,0
TAS1R2,0,0,0,4
ALDH4A1,723,325,157,136
MIR4695,0,0,0,0
MIR1290,0,0,2,2
IFFO2,295,295,59,56
UBR4,1945,1375,8085,7703
EMC1,525,368,450,482
MRTO4,212,128,92,71
AKR7L,0,0,7,20
AKR7A3,0,2,25,28
LOC100506730,10,18,0,2
AKR7A2,246,211,298,345
SLC66A1,81,77,33,38
CAPZB,2291,2036,877,891
MICOS10-NBL1,0,0,0,0
MICOS10,257,179,63,60
RPS14P3,8,6,31,45
NBL1,1,0,11,13
HTR6,2,2,2,2
TMCO4,292,210,184,140
RNF186,2,0,0,0
OTUD3,154,130,77,68
PLA2G2E,0,0,0,0
PLA2G2A,346,1479,164,145
PLA2G5,20,163,0,0
PLA2G2D,116,81,0,4
PLA2G2F,133,28,165,165
PLA2G2C,0,1,0,4
UBXN10,105,70,53,47
NA,0,6,0,0
VWA5B1,132,9,139,175
LINC01141,0,0,0,0
CAMK2N1,536,225,184,135
MUL1,314,380,49,48
FAM43B,2,2,0,0
CDA,20,23,0,2
PINK1,162,192,340,316
MIR6084,0,0,0,0
PINK1-AS,35,10,8,9
DDOST,1925,1411,1124,1007
KIF17,8,30,0,4
SH2D5,0,0,0,0
HP1BP3,2143,1685,1357,1226
EIF4G3,1140,1089,2253,2191
MIR1256,0,0,0,0
ECE1,1516,1646,725,626
ECE1-AS1,8,7,2,4
NBPF3,169,87,443,467
ALPL,123,141,70,68
RAP1GAP,184,32,325,331
USP48,879,506,1340,1240
LDLRAD2,7,21,15,10
HSPG2,1434,3808,2456,2562
CELA3B,0,0,0,0
CELA3A,0,0,0,0
LINC01635,1,2,0,0
LINC00339,94,90,0,0
CDC42,3504,2009,1867,1779
WNT4,107,35,53,65
MIR4418,0,0,0,0
ZBTB40,492,398,1252,1195
EPHA8,0,0,0,0
MIR6127,0,0,0,0
C1QA,1107,1242,197,177
C1QC,1186,1403,139,158
C1QB,1209,1844,241,237
EPHB2,161,172,86,81
MIR4684,0,0,0,0
MIR4253,0,0,0,0
LACTBL1,0,0,0,0
TEX46,0,0,0,0
KDM1A,909,483,1302,1259
MIR3115,0,0,6,4
NA,0,0,0,0
LUZP1,890,514,515,482
HTR1D,3,1,0,0
LINC01355,30,8,0,4
HNRNPR,1712,941,1739,1647
ZNF436,600,313,190,200
ZNF436-AS1,21,9,17,29
TCEA3,84,245,170,131
ASAP3,247,294,101,94
E2F2,68,40,5,2
LOC101928163,0,0,0,0
ID3,389,578,112,95
MDS2,1,1,0,0
RPL11,4488,3134,8530,8084
ELOA,611,398,741,676
ELOA-AS1,3,5,0,0
PITHD1,305,269,236,253
LYPLA2,572,342,280,275
GALE,181,143,242,288
HMGCL,344,315,297,287
FUCA1,1653,880,992,871
CNR2,37,12,4,0
MIR378F,0,0,0,0
PNRC2,1875,1270,726,774
SRSF10,1202,748,534,507
MYOM3,4,8,3,0
IL22RA1,11,1,3,1
IFNLR1,114,25,30,28
LINC02800,0,0,0,0
GRHL3,746,199,471,414
STPG1,109,42,82,101
NIPAL3,629,244,181,179
RCAN3AS,0,3,0,0
RCAN3,317,65,73,75
NCMAP-DT,77,5,0,0
NCMAP,20,21,0,0
SRRM1,965,646,3441,3366
CLIC4,2932,5686,100,85
RUNX3,299,240,18,12
MIR6731,0,0,0,0
MIR4425,0,0,0,0
SYF2,725,321,635,673
RSRP1,727,532,811,759
RHD,17,10,162,140
TMEM50A,407,234,368,403
RHCE,0,2,57,72
MACO1,364,257,411,387
LDLRAP1,262,208,186,199
MAN1C1,209,457,53,64
SELENON,1218,1389,767,755
MTFR1L,295,364,146,134
LOC646471,42,26,24,41
AUNIP,13,5,14,14
PAQR7,490,202,75,91
STMN1,678,354,429,450
MIR3917,0,0,0,0
PAFAH2,351,171,39,60
EXTL1,2,10,2,6
SLC30A2,11,4,2,8
LOC105376910,0,0,0,0
TRIM63,0,48,0,0
PDIK1L,282,153,98,97
FAM110D,10,31,0,0
NA,0,0,0,0
ZNF593,28,34,21,15
CNKSR1,234,85,1573,1603
CATSPER4,0,0,9,9
ZPLD2P,2,0,0,0
CEP85,129,108,141,177
SH3BGRL3,996,977,109,115
UBXN11,110,140,118,130
CD52,237,86,31,40
CRYBG2,121,57,151,161
ZNF683,12,4,6,26
LIN28A,0,0,0,0
DHDDS,384,277,349,344
DHDDS-AS1,0,2,2,4
HMGN2,1629,907,1464,1414
RPS6KA1,561,327,308,283
MIR1976,0,0,1,0
LOC101928728,12,3,0,0
ARID1A,1285,847,4216,4055
PIGV,221,129,120,112
ZDHHC18,385,315,127,128
SFN,391,531,118,109
GPN2,137,107,77,49
GPATCH3,97,69,78,75
NUDC,397,363,700,656
NR0B2,0,0,2,2
KDF1,74,32,46,51
TRNP1,307,87,2,0
TENT5B,16,198,4,5
SLC9A1,590,464,514,451
WDTC1,654,589,317,321
TMEM222,251,248,55,56
ACTG1P20,13,9,26,46
RNU6-48P,0,0,0,0
SYTL1,250,153,353,356
MAP3K6,121,371,158,186
FCN3,12,26,0,0
CD164L2,0,0,0,1
GPR3,5,8,14,18
WASF2,1886,1385,1392,1547
AHDC1,156,220,150,135
FGR,286,259,24,33
IFI6,120,68,43,25
FAM76A,112,123,90,99
STX12,861,644,301,284
PPP1R8,518,385,180,173
SCARNA1,0,0,328,283
THEMIS2,304,305,43,36
RPA2,448,303,155,138
SMPDL3B,48,42,16,26
XKR8,105,115,2,10
EYA3,442,226,554,483
